transaction_id,hour,amount,hist_avg_amount,amount_ratio,account_age_days,n_tx_last_24h,distance_from_home_km,is_foreign,merchant_category,is_fraud
T700038,18,19.97,19.61,1.02,2703,2,13.4,0,grocery,0
T700039,0,62.36,12.72,4.9,611,2,25.1,0,travel,0
T700040,2,3.19,16.15,0.2,1831,2,9.6,0,grocery,0
T700041,7,33.95,25.68,1.32,2428,7,9.2,0,electronics,0
T700042,8,30.86,62.4,0.49,951,4,5.1,0,fuel,0
T700043,16,44.35,28.55,1.55,16,0,6.3,0,grocery,0
T700044,2,7.65,11.63,0.66,2113,3,1.5,0,grocery,0
T700045,10,26.22,16.25,1.61,706,1,4.3,0,online,0
T700046,19,17.55,34.1,0.51,610,2,1.1,0,travel,0
T700047,21,32.5,33.55,0.97,2110,5,9.1,0,fuel,0
T700048,1,11.31,16.47,0.69,366,1,6.6,0,online,0
T700049,10,72.04,64.92,1.11,43,3,0.2,0,grocery,0
T700050,7,19.07,46.92,0.41,2722,1,7.2,0,grocery,0
T700051,14,55.07,35.46,1.55,1290,3,3.2,0,fuel,0
T700052,19,43.52,34.27,1.27,1419,4,7.8,0,electronics,0
T700053,14,14.54,18.15,0.8,2808,5,1.9,0,online,0
T700054,14,63.42,17.91,3.54,1203,4,1.6,0,grocery,0
T700055,14,71.92,34.99,2.06,11,2,11.5,0,grocery,0
T700056,7,161.12,47.33,3.4,1280,4,2.7,0,online,0
T700057,15,77.34,33.92,2.28,35,1,6.2,0,electronics,0
T700058,4,16.08,35.21,0.46,259,2,2.3,0,grocery,0
T700059,12,66.79,19.67,3.4,2338,4,2.8,0,grocery,0
T700060,21,84.64,25.15,3.37,2213,3,2.3,0,restaurant,0
T700061,4,10.2,36.32,0.28,2707,3,6.3,0,grocery,0
T700062,2,35.99,17.82,2.02,2202,3,3.6,0,electronics,0
T700063,1,13.42,20.65,0.65,11,4,12.1,0,online,1
T700064,0,8.98,46.52,0.19,1489,7,8.7,0,fuel,0
T700065,6,19.84,21.44,0.93,2425,4,2.4,0,electronics,0
T700066,6,7.49,63.12,0.12,176,3,3.2,0,electronics,0
T700067,2,29.34,31.89,0.92,2779,3,2.0,0,online,0
T700068,20,10.67,54.64,0.2,163,4,9.0,0,grocery,0
T700069,2,46.46,28.83,1.61,2792,0,3.0,0,fuel,0
T700070,6,6.78,42.17,0.16,2605,3,7.0,0,electronics,0
T700071,6,10.05,23.13,0.43,251,4,4.3,0,online,0
T700072,13,7.86,49.77,0.16,2649,2,3.8,0,restaurant,0
T700073,14,7.69,20.33,0.38,1921,1,4.8,0,travel,0
T700074,10,4.22,22.35,0.19,1683,1,1.9,0,grocery,0
T700075,8,13.33,34.53,0.39,1761,1,9.4,0,electronics,0
T700076,15,27.8,20.1,1.38,656,3,7.7,0,electronics,0
T700077,18,10.97,20.62,0.53,65,3,1.2,0,fuel,0
T700078,11,57.08,29.94,1.91,600,4,3.7,0,restaurant,0
T700079,23,27.48,33.1,0.83,2047,0,12.6,0,atm,0
T700080,18,60.15,54.69,1.1,1323,1,2.6,0,grocery,0
T700081,7,154.58,29.0,5.33,2591,4,1.1,0,grocery,0
T700082,23,353.17,22.37,15.79,2665,2,12.8,0,travel,0
T700083,5,25.37,15.24,1.66,579,3,5.7,0,grocery,0
T700084,16,59.27,18.11,3.27,701,3,11.6,0,online,0
T700085,16,49.19,25.68,1.92,2957,8,13.8,0,grocery,0
T700086,7,104.0,45.43,2.29,1801,4,18.5,0,restaurant,0
T700087,13,18.08,37.88,0.48,412,7,18.8,0,grocery,0
T700088,8,27.24,14.45,1.89,138,3,47.4,0,fuel,0
T700089,18,5.72,22.53,0.25,391,3,7.0,1,grocery,0
T700090,7,80.33,17.52,4.59,2656,2,6.6,0,electronics,0
T700091,14,38.16,40.76,0.94,1375,3,2.7,0,travel,0
T700092,12,44.1,26.08,1.69,1911,1,3.5,1,grocery,0
T700093,6,103.02,65.99,1.56,1320,0,4.3,0,atm,0
T700094,21,59.11,39.13,1.51,2765,4,6.0,0,electronics,0
T700095,21,50.78,36.72,1.38,543,0,9.6,0,grocery,0
T700096,12,9.76,120.23,0.08,1602,4,2.8,0,grocery,0
T700097,13,94.98,50.69,1.87,2423,1,3.8,0,restaurant,0
T700098,6,15.77,47.34,0.33,610,3,1.8,0,online,0
T700099,17,17.29,23.01,0.75,2798,1,5.3,0,travel,0
T700100,20,68.24,30.19,2.26,523,4,7.6,0,restaurant,0
T700101,16,43.58,32.03,1.36,1788,5,7.5,0,atm,0
T700102,10,70.46,41.81,1.69,278,1,5.4,0,electronics,0
T700103,18,27.99,12.67,2.21,2327,2,9.2,0,electronics,0
T700104,8,129.8,27.77,4.67,865,2,28.9,0,electronics,0
T700105,18,74.01,17.2,4.3,1158,1,23.7,0,grocery,0
T700106,4,14.2,21.46,0.66,1855,3,25.1,0,travel,0
T700107,9,15.72,34.96,0.45,611,2,5.4,0,restaurant,0
T700108,15,106.06,11.61,9.14,2230,0,2.4,0,online,0
T700109,0,78.74,40.79,1.93,2457,4,9.1,0,grocery,0
T700110,17,26.73,22.24,1.2,1079,3,4.5,0,fuel,0
T700111,11,23.81,41.72,0.57,414,9,5.4,0,atm,0
T700112,12,78.28,21.5,3.64,1479,3,0.5,0,electronics,0
T700113,21,19.72,25.1,0.79,2707,4,20.8,0,grocery,0
T700114,7,67.55,46.32,1.46,2049,2,16.4,0,electronics,0
T700115,3,55.81,33.52,1.66,1679,5,4.7,0,fuel,0
T700116,3,211.86,43.03,4.92,166,3,5.8,0,restaurant,0
T700117,18,15.95,66.63,0.24,152,3,17.5,0,travel,0
T700118,8,235.5,21.69,10.86,1591,3,0.3,0,electronics,0
T700119,15,80.12,24.46,3.28,2893,2,5.1,0,fuel,0
T700120,1,10.53,30.35,0.35,1356,3,8.1,1,atm,0
T700121,16,33.87,20.83,1.63,217,2,2.8,0,grocery,0
T700122,20,65.28,37.61,1.74,2428,3,4.0,0,grocery,0
T700123,5,12.42,40.72,0.31,96,3,14.2,0,restaurant,0
T700124,21,27.36,20.25,1.35,1946,4,4.4,0,online,0
T700125,1,51.03,67.23,0.76,1408,3,1.2,0,atm,0
T700126,8,19.0,41.92,0.45,2447,3,33.5,0,electronics,0
T700127,6,37.37,74.09,0.5,1602,4,6.1,0,fuel,0
T700128,6,5.19,35.07,0.15,1753,8,1.3,0,restaurant,0
T700129,14,12.68,13.88,0.91,115,3,8.2,0,online,0
T700130,18,85.27,29.98,2.84,195,3,17.9,0,grocery,0
T700131,9,55.27,25.72,2.15,643,2,10.3,0,grocery,0
T700132,5,69.04,52.76,1.31,1465,4,1.1,0,online,0
T700133,6,56.95,21.09,2.7,2953,6,5.0,0,restaurant,0
T700134,8,20.47,69.07,0.3,2864,4,12.3,0,restaurant,0
T700135,9,6.77,43.63,0.16,2242,1,2.8,0,grocery,0
T700136,23,12.7,13.75,0.92,1771,1,0.1,0,atm,0
T700137,17,20.97,38.02,0.55,2534,1,1.0,0,grocery,0
T700138,10,4.74,59.46,0.08,1507,2,0.8,0,electronics,0
T700139,6,6.16,44.76,0.14,634,1,1.5,0,online,0
T700140,0,11.25,12.43,0.91,588,0,2.5,0,electronics,0
T700141,13,13.49,14.53,0.93,285,0,2.8,0,grocery,0
T700142,0,82.87,24.09,3.44,1041,2,16.6,0,fuel,0
T700143,9,5.26,24.34,0.22,1078,4,11.5,0,electronics,0
T700144,5,44.6,16.63,2.68,1998,5,3.8,0,restaurant,0
T700145,23,12.15,28.78,0.42,1408,4,0.0,1,grocery,0
T700146,23,9.34,24.19,0.39,2279,2,5.9,0,fuel,0
T700147,20,3.27,43.45,0.08,878,2,13.0,0,restaurant,0
T700148,12,132.65,12.47,10.64,1255,2,7.5,0,atm,0
T700149,17,21.28,36.08,0.59,2385,1,0.7,0,grocery,0
T700150,10,34.59,25.89,1.34,823,5,11.9,0,restaurant,0
T700151,13,15.94,20.39,0.78,477,7,9.4,0,fuel,0
T700152,2,112.09,16.95,6.61,2411,4,4.3,1,travel,1
T700153,9,223.6,14.89,15.02,2410,4,17.1,0,electronics,0
T700154,12,120.32,21.16,5.69,671,3,4.3,0,online,0
T700155,16,30.63,17.02,1.8,1485,2,16.8,0,online,0
T700156,8,32.79,55.43,0.59,984,3,6.4,0,grocery,0
T700157,20,35.78,22.92,1.56,2571,4,2.3,0,atm,0
T700158,7,29.29,46.65,0.63,1038,2,0.5,0,online,0
T700159,3,64.08,23.9,2.68,2666,5,5.8,0,restaurant,0
T700160,20,134.95,27.93,4.83,1853,3,3.7,0,restaurant,0
T700161,0,127.17,17.12,7.43,616,4,6.4,0,grocery,1
T700162,9,9.08,43.69,0.21,318,3,16.4,0,online,0
T700163,11,27.89,25.87,1.08,2071,3,0.6,0,online,0
T700164,0,14.99,38.77,0.39,2220,4,10.9,0,grocery,0
T700165,6,57.69,38.25,1.51,2362,2,9.9,0,fuel,0
T700166,19,18.22,19.98,0.91,2157,9,8.5,0,grocery,0
T700167,21,24.76,54.92,0.45,1833,4,6.0,0,atm,0
T700168,9,27.89,42.49,0.66,2392,3,1.3,0,online,0
T700169,6,3.86,51.79,0.07,1875,2,6.8,0,atm,0
T700170,6,106.37,32.29,3.29,133,0,2.8,0,grocery,0
T700171,21,71.93,11.35,6.34,480,4,9.8,0,restaurant,0
T700172,22,14.79,17.14,0.86,2828,4,8.1,0,grocery,0
T700173,12,13.25,43.74,0.3,1589,5,3.6,0,online,0
T700174,10,5.79,50.63,0.11,1654,3,2.1,0,fuel,0
T700175,20,161.51,21.83,7.4,2245,3,26.2,0,travel,0
T700176,6,6.99,31.53,0.22,1031,6,0.0,0,grocery,0
T700177,10,37.36,27.34,1.37,1593,2,1.8,0,online,0
T700178,10,18.17,51.04,0.36,1802,2,0.5,0,fuel,0
T700179,17,25.53,38.68,0.66,2183,8,7.1,0,restaurant,0
T700180,1,20.09,18.32,1.1,2311,3,12.9,1,atm,0
T700181,23,9.59,46.46,0.21,2296,0,7.7,0,fuel,0
T700182,18,31.84,15.77,2.02,1798,0,1.7,0,online,0
T700183,3,18.03,45.85,0.39,2582,2,1.9,0,grocery,0
T700184,17,43.04,54.04,0.8,1192,4,4.9,0,online,0
T700185,6,108.56,29.91,3.63,2132,5,3.4,0,online,0
T700186,9,34.5,37.96,0.91,1589,6,39.2,0,online,0
T700187,12,4.69,13.96,0.34,2652,1,0.6,0,fuel,0
T700188,16,52.7,18.06,2.92,567,3,13.6,0,electronics,0
T700189,9,10.73,29.86,0.36,260,4,18.2,0,online,0
T700190,5,250.3,14.68,17.05,658,2,2.1,0,grocery,0
T700191,19,18.63,36.8,0.51,56,4,7.7,0,grocery,0
T700192,2,15.49,38.06,0.41,1879,5,6.7,0,grocery,0
T700193,22,17.16,17.25,0.99,2151,4,2.9,0,online,0
T700194,20,45.93,16.86,2.72,421,2,1.5,0,restaurant,0
T700195,13,90.57,29.62,3.06,1834,3,2.3,0,grocery,0
T700196,10,150.0,18.83,7.97,919,2,19.5,0,travel,0
T700197,3,13.91,28.17,0.49,2307,3,9.9,0,atm,0
T700198,19,7.29,57.98,0.13,1941,1,2.8,0,electronics,0
T700199,9,7.18,20.52,0.35,2037,5,27.5,0,grocery,0
T700200,13,42.28,31.24,1.35,1815,5,10.2,1,travel,1
T700201,7,170.87,23.8,7.18,1225,5,0.5,0,fuel,1
T700202,15,40.78,51.58,0.79,903,1,17.5,0,restaurant,0
T700203,15,15.24,87.11,0.17,1268,3,1.4,0,grocery,0
T700204,0,14.73,28.84,0.51,782,0,1.9,0,online,0
T700205,6,26.25,32.39,0.81,1914,1,6.9,0,grocery,0
T700206,12,14.72,18.6,0.79,452,1,5.5,0,grocery,0
T700207,2,23.02,59.66,0.39,245,2,2.7,1,fuel,0
T700208,3,36.33,40.97,0.89,2597,2,8.1,0,travel,0
T700209,12,6.58,28.03,0.23,884,5,8.8,0,grocery,0
T700210,8,219.1,38.45,5.7,2490,0,24.7,0,restaurant,0
T700211,6,82.68,50.52,1.64,547,1,2.2,0,grocery,0
T700212,22,58.64,44.51,1.32,2003,5,5.7,0,grocery,0
T700213,11,36.61,58.15,0.63,2353,5,1.1,0,electronics,0
T700214,12,5.19,17.45,0.3,2617,6,7.6,0,restaurant,0
T700215,8,26.31,93.66,0.28,1418,2,5.7,0,electronics,0
T700216,8,5.92,65.37,0.09,2773,3,1.6,0,electronics,0
T700217,18,6.45,36.75,0.18,2163,2,0.7,0,fuel,0
T700218,11,53.36,31.72,1.68,1992,0,2.7,0,online,0
T700219,6,41.51,30.6,1.36,438,4,24.9,0,grocery,0
T700220,0,47.94,33.45,1.43,148,6,4.5,0,restaurant,0
T700221,17,5.31,28.55,0.19,51,3,4.9,0,online,0
T700222,12,132.7,34.86,3.81,902,3,1.3,0,online,0
T700223,2,46.73,37.99,1.23,1824,3,20.2,0,grocery,0
T700224,16,14.44,27.2,0.53,1069,7,1.2,0,electronics,0
T700225,18,17.74,32.51,0.55,895,2,0.9,0,online,0
T700226,16,69.71,13.51,5.16,1779,3,13.2,0,grocery,0
T700227,23,53.27,35.1,1.52,2510,4,6.2,0,electronics,0
T700228,7,67.18,34.26,1.96,959,2,3.2,0,atm,0
T700229,6,9.14,11.19,0.82,1213,3,6.2,0,grocery,0
T700230,19,13.9,37.4,0.37,820,5,0.5,0,grocery,0
T700231,23,76.18,11.54,6.6,1837,2,25.1,1,fuel,0
T700232,17,16.54,26.98,0.61,974,2,2.5,0,grocery,0
T700233,14,36.99,35.18,1.05,925,6,25.2,0,grocery,0
T700234,6,15.72,22.99,0.68,2761,3,12.5,0,grocery,0
T700235,13,30.88,39.02,0.79,2737,3,6.3,0,restaurant,0
T700236,8,13.66,22.66,0.6,2517,4,23.7,0,online,0
T700237,6,43.14,36.78,1.17,2738,4,4.5,0,grocery,0
T700238,10,4.89,28.24,0.17,2586,4,1.8,0,online,0
T700239,16,87.85,44.67,1.97,1283,4,12.0,1,atm,0
T700240,15,1.48,33.13,0.04,1639,2,5.9,0,fuel,0
T700241,10,19.95,90.68,0.22,2607,2,12.3,0,electronics,0
T700242,14,28.94,26.98,1.07,2412,3,27.1,0,electronics,0
T700243,14,102.16,36.04,2.83,1261,1,5.1,0,restaurant,0
T700244,7,29.57,27.52,1.07,2607,2,9.6,0,electronics,0
T700245,11,48.73,37.79,1.29,1620,4,1.3,0,grocery,0
T700246,11,30.88,37.8,0.82,2502,5,4.9,0,online,0
T700247,18,12.3,26.73,0.46,2062,3,3.9,1,electronics,0
T700248,6,26.1,72.9,0.36,1473,3,1.5,0,restaurant,0
T700249,12,3.85,34.16,0.11,146,1,22.5,0,atm,0
T700250,12,19.37,43.07,0.45,857,1,8.6,1,online,0
T700251,7,3.22,75.32,0.04,1327,5,0.5,0,fuel,0
T700252,18,41.7,24.09,1.73,1983,2,10.6,0,restaurant,0
T700253,7,21.79,18.19,1.2,1392,5,21.7,0,online,0
T700254,12,24.5,19.23,1.27,1552,3,2.6,0,grocery,0
T700255,13,48.97,26.75,1.83,801,2,4.3,0,grocery,0
T700256,11,57.68,29.46,1.96,931,3,5.2,0,electronics,0
T700257,23,39.89,14.81,2.69,2357,6,6.6,0,online,0
T700258,15,25.09,28.09,0.89,1029,3,4.0,0,atm,0
T700259,2,38.13,33.23,1.15,2736,4,5.8,0,grocery,0
T700260,0,3.65,48.58,0.08,205,2,2.2,0,fuel,0
T700261,0,89.85,17.93,5.01,2906,5,8.7,0,restaurant,1
T700262,7,53.13,42.6,1.25,2432,1,9.2,0,electronics,0
T700263,10,26.37,62.53,0.42,519,8,1.8,0,grocery,0
T700264,14,46.0,40.27,1.14,2319,5,4.9,0,travel,0
T700265,4,14.58,57.49,0.25,1616,4,15.1,0,restaurant,0
T700266,5,15.69,31.41,0.5,2920,3,2.5,0,restaurant,0
T700267,21,22.27,28.86,0.77,1051,2,18.9,0,travel,0
T700268,1,10.58,15.05,0.7,1964,1,19.5,0,online,0
T700269,13,24.44,23.41,1.04,1727,4,4.9,0,electronics,0
T700270,11,14.07,38.87,0.36,1784,1,2.0,0,restaurant,0
T700271,19,3.89,29.89,0.13,304,3,11.5,1,grocery,0
T700272,3,19.53,49.05,0.4,2400,6,3.4,0,electronics,0
T700273,19,104.95,67.86,1.55,578,3,1.8,0,restaurant,0
T700274,14,126.62,13.96,9.07,746,5,11.0,0,restaurant,0
T700275,0,63.37,33.41,1.9,528,2,7.1,0,travel,0
T700276,14,54.83,30.46,1.8,2993,2,7.3,0,restaurant,0
T700277,21,26.53,21.66,1.22,1780,5,4.1,0,online,0
T700278,11,52.13,25.89,2.01,2460,3,8.4,0,online,0
T700279,10,13.93,29.15,0.48,1385,1,0.1,0,grocery,0
T700280,9,36.33,20.18,1.8,2203,2,2.7,0,grocery,0
T700281,5,42.37,29.08,1.46,83,1,3.5,0,electronics,0
T700282,6,28.32,13.62,2.08,2020,3,8.0,0,online,0
T700283,20,19.8,37.19,0.53,1931,4,13.8,0,atm,0
T700284,9,2.9,22.59,0.13,2170,2,7.5,0,grocery,0
T700285,20,40.08,52.93,0.76,1014,2,11.8,0,grocery,0
T700286,12,7.62,38.2,0.2,2001,2,7.8,0,grocery,0
T700287,20,19.07,48.73,0.39,1770,3,1.9,0,online,0
T700288,20,50.8,77.22,0.66,2044,4,3.1,0,restaurant,0
T700289,21,247.46,48.49,5.1,431,4,4.3,0,restaurant,0
T700290,5,61.78,23.24,2.66,2818,4,0.9,0,fuel,0
T700291,23,9.19,54.85,0.17,2869,5,8.5,0,electronics,0
T700292,4,174.31,40.34,4.32,364,4,0.5,0,grocery,0
T700293,6,129.37,20.94,6.18,1939,1,3.7,0,travel,0
T700294,19,12.76,29.95,0.43,1424,1,1.4,0,fuel,0
T700295,5,69.84,81.83,0.85,1955,3,16.2,0,online,0
T700296,21,41.0,32.44,1.26,1836,6,4.7,0,online,0
T700297,1,67.51,12.64,5.34,308,2,0.2,0,atm,0
T700298,1,95.76,12.65,7.57,667,2,3.6,0,online,0
T700299,17,51.89,33.39,1.55,1625,1,0.4,0,grocery,0
T700300,18,7.94,22.6,0.35,114,3,14.5,1,online,0
T700301,8,52.41,34.14,1.54,361,3,2.8,0,online,0
T700302,2,11.68,36.8,0.32,673,4,16.1,0,fuel,0
T700303,16,10.35,22.86,0.45,255,0,1.7,0,restaurant,0
T700304,19,60.15,37.01,1.63,2957,2,7.9,0,grocery,0
T700305,19,29.3,31.49,0.93,1027,2,10.6,0,online,0
T700306,21,14.87,49.67,0.3,2739,1,4.6,0,online,0
T700307,6,20.88,21.57,0.97,1412,3,14.6,0,electronics,0
T700308,22,21.77,19.52,1.12,862,1,2.0,0,online,0
T700309,23,55.87,24.7,2.26,2462,3,2.9,0,electronics,0
T700310,4,6.69,24.52,0.27,2023,4,10.0,0,electronics,0
T700311,14,21.83,7.93,2.75,1631,2,0.2,0,restaurant,0
T700312,11,27.13,55.39,0.49,614,1,10.1,0,grocery,0
T700313,21,27.39,27.17,1.01,1459,3,9.7,0,online,0
T700314,3,6.4,24.12,0.27,1547,3,42.6,0,grocery,0
T700315,12,30.5,26.65,1.14,1273,5,22.3,0,restaurant,0
T700316,9,37.44,21.43,1.75,897,2,10.5,0,restaurant,0
T700317,21,17.97,22.19,0.81,268,1,0.1,0,fuel,0
T700318,20,41.92,32.97,1.27,1653,4,6.0,0,grocery,0
T700319,11,151.33,30.13,5.02,1332,2,16.1,0,grocery,0
T700320,20,12.52,50.62,0.25,2627,2,3.4,0,atm,0
T700321,19,14.8,41.93,0.35,2682,3,15.3,0,fuel,0
T700322,1,20.47,12.51,1.64,2997,3,17.5,0,grocery,0
T700323,9,5.47,25.79,0.21,2182,4,0.5,0,electronics,0
T700324,18,9.33,26.17,0.36,256,5,0.4,0,grocery,0
T700325,0,37.54,41.97,0.89,2278,2,4.9,0,restaurant,0
T700326,7,55.46,23.54,2.36,848,5,2.9,0,restaurant,0
T700327,17,16.46,37.16,0.44,1946,5,17.6,0,grocery,0
T700328,15,3.08,63.83,0.05,2494,3,1.5,0,online,0
T700329,2,3.38,15.22,0.22,1826,3,8.9,0,grocery,0
T700330,5,10.31,61.56,0.17,457,3,0.7,0,grocery,0
T700331,22,25.46,16.0,1.59,2912,2,12.1,0,travel,0
T700332,11,32.99,35.62,0.93,849,8,0.9,0,grocery,0
T700333,13,57.77,31.66,1.82,2307,3,1.0,0,fuel,0
T700334,14,45.86,41.24,1.11,800,2,0.3,1,fuel,0
T700335,8,44.03,34.44,1.28,1425,1,27.7,0,electronics,0
T700336,13,8.15,12.1,0.67,479,0,2.1,1,fuel,0
T700337,18,5.61,36.37,0.15,24,3,2.4,0,atm,0
T700338,23,18.9,34.55,0.55,2877,3,3.8,0,grocery,0
T700339,22,40.46,23.31,1.74,2510,2,3.4,0,restaurant,0
T700340,17,32.63,50.63,0.64,341,2,2.2,1,electronics,0
T700341,9,3.86,42.2,0.09,1612,3,0.8,0,online,0
T700342,22,13.96,23.96,0.58,2251,1,4.0,0,fuel,0
T700343,16,40.19,32.31,1.24,818,2,8.0,0,online,0
T700344,8,22.94,20.47,1.12,2407,2,12.8,0,online,0
T700345,10,67.67,13.88,4.88,2793,3,5.9,0,restaurant,0
T700346,15,20.77,45.48,0.46,2195,2,9.7,0,online,0
T700347,2,262.15,17.77,14.75,1468,1,17.6,1,atm,0
T700348,11,103.56,17.14,6.04,1648,3,5.8,0,travel,0
T700349,4,7.49,29.0,0.26,2121,2,3.6,0,restaurant,0
T700350,10,31.1,30.28,1.03,908,6,14.0,0,grocery,0
T700351,20,40.5,27.44,1.48,1172,3,5.0,0,grocery,0
T700352,16,20.31,32.62,0.62,2748,6,2.9,1,restaurant,0
T700353,10,48.95,41.69,1.17,1474,4,11.4,0,online,0
T700354,9,146.86,38.5,3.81,2065,3,2.7,0,fuel,0
T700355,8,44.36,31.54,1.41,563,8,3.2,0,grocery,0
T700356,4,42.42,26.0,1.63,2127,4,7.4,0,online,0
T700357,7,7.1,10.76,0.66,671,2,4.8,0,grocery,0
T700358,4,107.62,48.45,2.22,290,3,24.4,0,grocery,0
T700359,8,70.34,27.44,2.56,576,4,4.3,0,travel,0
T700360,1,63.5,50.04,1.27,1172,1,13.4,0,travel,0
T700361,7,3.43,15.73,0.22,842,3,3.1,0,fuel,0
T700362,19,5.3,41.58,0.13,483,3,5.0,0,fuel,0
T700363,18,48.0,9.59,5.01,207,2,6.0,0,grocery,0
T700364,15,33.62,17.67,1.9,1022,5,3.2,1,restaurant,0
T700365,16,19.7,34.02,0.58,1049,1,0.7,0,restaurant,0
T700366,0,12.18,37.61,0.32,2829,4,2.5,0,online,0
T700367,14,94.33,17.71,5.33,2946,4,3.2,0,grocery,0
T700368,18,3.43,21.92,0.16,1709,2,4.5,0,restaurant,0
T700369,19,166.44,59.22,2.81,636,3,2.3,0,restaurant,0
T700370,23,17.15,17.28,0.99,632,3,2.2,0,grocery,0
T700371,2,173.68,26.1,6.65,2595,5,2.3,0,online,1
T700372,12,5.94,59.55,0.1,2611,4,5.1,0,grocery,0
T700373,20,53.16,25.95,2.05,908,0,5.7,0,online,0
T700374,0,79.52,12.48,6.37,2249,1,6.7,0,travel,0
T700375,5,63.0,38.46,1.64,412,2,12.3,0,travel,0
T700376,1,53.11,45.53,1.17,2928,4,0.5,0,online,0
T700377,2,20.67,26.15,0.79,710,1,0.3,0,online,0
T700378,1,11.99,63.01,0.19,2395,2,4.9,0,online,0
T700379,12,32.27,27.9,1.16,2117,2,1.7,0,online,0
T700380,14,20.94,26.99,0.78,2776,2,15.6,0,online,0
T700381,8,126.14,25.92,4.87,595,3,0.1,0,travel,0
T700382,3,29.66,60.0,0.49,1239,5,1.4,0,grocery,0
T700383,17,11.81,32.69,0.36,511,3,22.7,0,electronics,0
T700384,6,35.87,25.73,1.39,1358,2,1.0,0,electronics,0
T700385,18,21.56,21.55,1.0,164,3,17.6,0,online,0
T700386,7,92.88,14.24,6.52,1190,5,3.8,0,online,0
T700387,20,16.49,52.18,0.32,481,0,0.7,0,grocery,0
T700388,11,13.65,33.83,0.4,820,3,2.2,0,travel,0
T700389,4,43.09,27.55,1.56,1677,4,7.9,0,online,0
T700390,3,24.25,12.86,1.89,937,3,7.4,0,electronics,0
T700391,15,12.1,15.74,0.77,13,1,11.1,0,restaurant,0
T700392,21,47.01,19.86,2.37,87,2,0.1,1,online,0
T700393,8,37.33,45.14,0.83,2441,2,6.1,0,grocery,0
T700394,18,32.1,36.48,0.88,1968,6,2.5,0,grocery,0
T700395,16,35.37,58.86,0.6,1870,6,21.4,0,grocery,0
T700396,10,15.1,18.54,0.81,456,4,1.2,0,electronics,0
T700397,17,7.73,13.3,0.58,988,2,21.3,0,restaurant,0
T700398,15,40.8,37.65,1.08,1483,4,9.8,0,grocery,0
T700399,19,164.68,9.79,16.82,535,3,25.2,1,online,1
T700400,19,13.48,37.77,0.36,2896,2,15.9,0,online,0
T700401,10,30.07,47.81,0.63,842,2,2.0,0,restaurant,0
T700402,5,4.64,33.09,0.14,2900,5,2.6,0,restaurant,0
T700403,12,15.13,55.02,0.27,344,4,2.4,0,grocery,0
