applicant_id,credit_score,annual_income,loan_amount,loan_term_months,employment_length_yrs,debt_to_income,num_prior_defaults,home_ownership,loan_purpose,interest_rate,default
A50082,694,74200.0,60200,24,3.3,0.776,0,MORTGAGE,major_purchase,7.9,1
A50083,698,34900.0,26400,12,0.2,0.312,0,RENT,debt_consolidation,9.32,0
A50084,691,49000.0,44000,60,0.9,0.758,0,OWN,credit_card,11.77,0
A50085,772,45800.0,23600,60,0.5,0.284,0,RENT,major_purchase,9.95,0
A50086,639,101000.0,21300,36,3.0,0.151,0,MORTGAGE,debt_consolidation,9.44,1
A50087,644,39600.0,34400,36,6.5,0.499,0,MORTGAGE,home_improvement,11.24,0
A50088,746,27200.0,16400,12,5.3,0.364,0,OWN,debt_consolidation,7.53,0
A50089,672,84000.0,20300,36,0.9,0.449,0,RENT,major_purchase,8.49,0
A50090,707,51900.0,38100,24,4.3,0.416,0,RENT,debt_consolidation,9.08,0
A50091,625,81400.0,39500,36,17.5,0.393,0,MORTGAGE,debt_consolidation,11.53,0
A50092,682,40900.0,7600,24,0.1,0.61,0,OWN,debt_consolidation,9.86,0
A50093,712,33500.0,21100,12,2.4,0.328,0,RENT,debt_consolidation,8.98,0
A50094,580,44400.0,5300,36,3.0,0.153,0,MORTGAGE,credit_card,10.0,0
A50095,628,106400.0,56900,48,8.1,0.436,0,RENT,credit_card,11.18,0
A50096,712,89000.0,32100,48,3.7,0.792,1,MORTGAGE,home_improvement,10.23,1
A50097,849,27600.0,12200,60,0.6,0.318,0,MORTGAGE,small_business,6.69,0
A50098,715,96700.0,44700,36,25.1,0.58,0,RENT,home_improvement,7.37,0
A50099,676,82000.0,49600,12,3.1,0.347,0,RENT,small_business,11.07,0
A50100,617,63100.0,49400,36,0.8,0.43,0,MORTGAGE,debt_consolidation,14.1,1
A50101,709,67700.0,42500,48,0.6,0.611,0,RENT,debt_consolidation,8.21,0
A50102,492,53400.0,5500,36,13.7,0.404,0,RENT,debt_consolidation,13.05,1
A50103,676,84400.0,47200,60,5.2,0.774,0,OWN,credit_card,6.16,0
A50104,655,51100.0,35100,24,10.2,0.464,1,RENT,debt_consolidation,9.94,0
A50105,641,45800.0,26800,12,1.9,0.46,0,OWN,credit_card,9.12,0
A50106,850,69900.0,11600,60,3.6,0.314,0,RENT,medical,8.88,0
A50107,494,52900.0,29200,24,8.1,0.758,0,RENT,home_improvement,14.43,1
A50108,678,22500.0,12600,36,1.1,0.772,0,RENT,small_business,6.81,0
A50109,685,29900.0,19300,48,4.8,0.312,1,OWN,major_purchase,9.08,0
A50110,715,48400.0,20900,36,1.6,0.216,0,MORTGAGE,major_purchase,8.94,0
A50111,560,160500.0,130000,60,5.8,0.529,0,RENT,credit_card,9.69,1
A50112,645,60400.0,36800,48,1.4,0.502,1,OWN,major_purchase,10.4,1
A50113,568,72900.0,26100,36,0.6,0.283,0,MORTGAGE,credit_card,12.33,0
A50114,670,34100.0,18300,60,1.9,0.477,0,MORTGAGE,home_improvement,5.82,1
A50115,695,96000.0,58700,36,0.6,0.562,0,MORTGAGE,debt_consolidation,7.98,0
A50116,692,85400.0,33900,60,4.4,0.147,0,RENT,debt_consolidation,10.47,0
A50117,665,55100.0,43400,48,6.1,0.648,1,OWN,debt_consolidation,9.95,0
A50118,694,26800.0,10500,24,1.8,0.229,1,MORTGAGE,home_improvement,11.67,0
A50119,693,18100.0,7200,60,1.0,0.446,0,MORTGAGE,major_purchase,10.66,0
A50120,710,46600.0,32800,60,4.6,0.66,0,RENT,credit_card,8.18,0
A50121,682,47400.0,35900,24,2.9,0.42,0,OWN,debt_consolidation,8.03,0
A50122,546,44300.0,5200,36,6.4,0.467,1,RENT,major_purchase,13.68,0
A50123,619,26100.0,10100,36,7.5,0.732,0,RENT,debt_consolidation,12.09,1
A50124,706,104300.0,23600,24,1.2,0.133,1,MORTGAGE,credit_card,8.95,0
A50125,612,200400.0,83100,24,0.6,0.295,1,MORTGAGE,credit_card,12.06,0
A50126,620,40400.0,31600,36,,0.486,1,RENT,debt_consolidation,10.16,1
A50127,689,43900.0,22000,36,6.7,0.563,2,RENT,credit_card,11.32,0
A50128,677,29100.0,16500,24,17.9,0.61,0,MORTGAGE,debt_consolidation,10.1,0
A50129,747,29100.0,8200,36,0.2,0.661,0,MORTGAGE,major_purchase,5.96,0
A50130,718,21500.0,16800,48,6.9,0.262,0,MORTGAGE,debt_consolidation,10.19,0
A50131,647,47700.0,27200,36,4.0,0.375,0,MORTGAGE,debt_consolidation,13.03,0
A50132,689,66700.0,38400,24,1.4,0.434,0,RENT,credit_card,10.27,0
A50133,466,48300.0,16800,36,3.6,0.336,2,OWN,debt_consolidation,12.11,1
A50134,620,38100.0,22800,48,,0.488,0,RENT,major_purchase,10.74,1
A50135,669,40600.0,30300,36,3.3,0.537,0,RENT,debt_consolidation,11.73,1
A50136,501,63200.0,17600,36,5.8,0.268,0,RENT,major_purchase,15.04,1
A50137,656,55100.0,6800,60,0.2,0.198,0,MORTGAGE,credit_card,11.83,0
A50138,699,63900.0,8800,12,4.7,0.107,0,RENT,medical,7.95,0
A50139,758,45300.0,23800,48,3.4,0.497,0,MORTGAGE,home_improvement,9.99,0
A50140,710,43700.0,33700,24,2.9,0.357,0,OWN,small_business,7.46,0
A50141,821,65300.0,17000,36,1.9,0.51,0,RENT,debt_consolidation,6.65,0
A50142,795,51400.0,31600,12,1.6,0.225,0,RENT,credit_card,9.27,0
A50143,557,52500.0,37700,48,0.5,0.754,2,OWN,credit_card,15.61,1
A50144,663,26700.0,13500,36,2.7,0.268,1,MORTGAGE,home_improvement,12.01,1
A50145,668,82300.0,35600,36,5.2,0.431,0,RENT,debt_consolidation,10.36,0
A50146,687,36400.0,7600,24,4.7,0.262,0,RENT,home_improvement,11.58,0
A50147,637,,126900,36,,0.708,0,RENT,small_business,8.44,1
A50148,726,41200.0,23000,48,0.7,0.291,0,MORTGAGE,debt_consolidation,5.51,0
A50149,736,39800.0,23500,12,10.3,0.8,0,RENT,credit_card,5.22,0
A50150,566,40900.0,23100,24,7.4,0.307,0,OWN,home_improvement,11.68,0
A50151,751,77700.0,9100,60,1.2,0.336,0,MORTGAGE,debt_consolidation,8.94,0
A50152,631,46100.0,4900,24,1.0,0.176,1,MORTGAGE,credit_card,13.35,0
A50153,759,37500.0,16100,60,4.2,0.345,0,RENT,debt_consolidation,9.09,0
A50154,722,,8700,24,12.5,0.293,1,RENT,debt_consolidation,11.93,1
A50155,670,80700.0,9200,36,9.7,0.303,0,MORTGAGE,home_improvement,10.93,0
A50156,829,100900.0,57000,24,1.7,0.291,0,MORTGAGE,home_improvement,6.1,0
A50157,747,104000.0,16000,36,0.1,0.402,0,OWN,credit_card,9.75,0
A50158,682,51300.0,30400,36,,0.471,0,MORTGAGE,major_purchase,7.27,0
A50159,699,38100.0,29300,48,0.7,0.514,1,MORTGAGE,home_improvement,10.35,1
A50160,850,90000.0,79500,12,0.8,0.361,0,RENT,debt_consolidation,6.96,0
A50161,786,46400.0,9300,60,3.0,0.353,0,MORTGAGE,debt_consolidation,6.49,0
A50162,751,33800.0,25100,12,13.1,0.375,0,OWN,debt_consolidation,7.55,0
A50163,696,40300.0,11200,36,4.5,0.713,0,OWN,debt_consolidation,6.99,0
A50164,722,51200.0,20600,36,1.0,0.28,0,OWN,debt_consolidation,7.5,0
A50165,691,86700.0,64800,12,2.1,0.863,1,RENT,credit_card,8.09,1
A50166,566,119000.0,105900,48,16.4,0.698,0,MORTGAGE,debt_consolidation,12.59,0
A50167,746,51400.0,22300,36,1.0,0.546,0,MORTGAGE,home_improvement,9.73,0
A50168,711,71600.0,15800,36,0.5,0.334,0,OWN,small_business,10.52,0
A50169,579,113700.0,73400,24,,0.498,0,MORTGAGE,medical,11.19,0
A50170,632,28900.0,24200,36,3.3,0.828,0,MORTGAGE,home_improvement,10.91,1
A50171,661,34400.0,27900,24,,0.698,2,MORTGAGE,debt_consolidation,8.28,1
A50172,704,59400.0,18900,24,,0.378,0,OWN,small_business,11.26,0
A50173,810,38300.0,14500,36,6.5,0.412,0,RENT,medical,7.95,0
A50174,681,66000.0,51200,48,7.5,0.363,0,RENT,debt_consolidation,11.84,0
A50175,534,36200.0,15000,48,0.5,0.485,0,MORTGAGE,major_purchase,14.04,1
A50176,729,46800.0,7900,24,2.5,0.186,0,OWN,credit_card,7.81,0
A50177,667,62400.0,11200,24,14.8,0.579,0,RENT,credit_card,10.77,0
A50178,549,111600.0,86700,60,,0.435,0,MORTGAGE,debt_consolidation,11.4,0
A50179,509,52200.0,31500,36,,0.85,0,RENT,home_improvement,11.31,1
A50180,600,71400.0,10400,48,1.4,0.33,0,RENT,debt_consolidation,10.9,0
A50181,708,46800.0,17500,60,3.9,0.228,0,RENT,major_purchase,8.15,0
A50182,623,113100.0,25000,36,4.4,0.389,0,RENT,debt_consolidation,12.84,0
A50183,725,41300.0,29400,36,2.0,0.306,0,RENT,major_purchase,9.35,0
A50184,659,69300.0,33400,36,1.8,0.455,0,RENT,credit_card,9.98,0
A50185,694,71300.0,44500,48,7.5,0.542,1,RENT,home_improvement,8.6,1
A50186,733,38300.0,4500,60,2.9,0.455,0,OWN,credit_card,8.93,0
A50187,723,34100.0,23900,36,3.8,0.418,0,RENT,home_improvement,6.89,0
A50188,601,52500.0,29000,60,5.6,0.544,1,MORTGAGE,debt_consolidation,9.62,0
A50189,825,71500.0,13500,36,1.4,0.229,0,RENT,debt_consolidation,5.71,0
A50190,532,132000.0,51800,36,0.2,0.729,0,RENT,medical,14.11,1
A50191,666,35800.0,6000,36,1.8,0.329,1,RENT,small_business,10.19,0
A50192,603,57300.0,21700,48,2.7,0.74,0,MORTGAGE,debt_consolidation,9.64,1
A50193,769,61000.0,31300,60,1.5,0.534,1,MORTGAGE,debt_consolidation,7.68,0
A50194,582,41100.0,4700,36,13.8,0.42,0,MORTGAGE,debt_consolidation,13.31,0
A50195,602,50200.0,37000,36,3.9,0.273,0,RENT,debt_consolidation,8.47,0
A50196,595,36700.0,26700,48,2.7,0.538,0,OWN,debt_consolidation,10.04,0
A50197,577,50500.0,27100,12,7.4,0.533,0,RENT,medical,12.71,0
A50198,637,63400.0,54100,36,0.0,0.628,0,MORTGAGE,debt_consolidation,11.74,1
A50199,694,90100.0,50700,36,9.0,0.409,0,MORTGAGE,debt_consolidation,11.84,0
A50200,607,52300.0,36600,36,6.1,0.737,1,MORTGAGE,debt_consolidation,10.92,0
A50201,553,50100.0,16800,60,4.5,0.228,1,RENT,debt_consolidation,13.87,1
A50202,659,99800.0,53800,36,0.2,0.628,0,RENT,medical,9.76,1
A50203,677,26900.0,14700,24,4.8,0.705,0,MORTGAGE,major_purchase,8.92,1
A50204,732,25200.0,18300,48,3.5,0.76,0,RENT,medical,6.71,0
A50205,618,58300.0,49300,60,0.2,0.289,0,OWN,debt_consolidation,9.3,0
A50206,665,39200.0,10700,36,2.8,0.167,0,RENT,debt_consolidation,10.16,0
A50207,747,86900.0,63900,12,,0.627,1,RENT,home_improvement,8.48,0
A50208,604,62900.0,14000,36,3.4,0.077,0,RENT,credit_card,12.05,0
A50209,672,51700.0,40400,12,7.4,0.319,0,OWN,major_purchase,10.78,0
A50210,652,129700.0,56700,48,,0.392,0,OWN,small_business,10.07,0
A50211,571,112300.0,63100,48,2.6,0.325,0,OWN,credit_card,15.73,1
A50212,670,21400.0,9200,60,3.3,0.285,2,MORTGAGE,credit_card,9.48,0
A50213,763,76100.0,58700,60,2.5,0.379,0,MORTGAGE,debt_consolidation,8.63,0
A50214,847,94400.0,55600,48,8.2,0.714,0,OWN,debt_consolidation,6.95,0
A50215,571,40500.0,31700,12,2.9,0.314,0,MORTGAGE,debt_consolidation,12.06,0
A50216,749,43800.0,29400,48,0.4,0.574,1,RENT,small_business,8.13,0
A50217,763,,37400,60,12.2,0.401,0,MORTGAGE,debt_consolidation,7.96,0
A50218,770,47400.0,11700,36,1.6,0.213,1,RENT,major_purchase,6.42,0
A50219,647,142500.0,14500,36,5.9,0.093,1,OWN,medical,9.74,0
A50220,703,93500.0,77400,36,3.0,0.656,0,MORTGAGE,debt_consolidation,9.78,0
A50221,634,32900.0,4800,60,3.6,0.445,0,RENT,debt_consolidation,10.37,0
A50222,721,,18800,60,8.9,0.247,0,OWN,home_improvement,10.07,0
A50223,769,65500.0,28500,36,9.4,0.349,0,MORTGAGE,credit_card,6.95,0
A50224,661,94800.0,17500,36,0.1,0.591,0,MORTGAGE,home_improvement,9.22,0
A50225,696,40700.0,10900,36,5.3,0.606,0,RENT,medical,7.87,0
A50226,744,45400.0,33700,24,2.1,0.813,0,MORTGAGE,debt_consolidation,9.08,0
A50227,733,54200.0,47400,36,0.1,0.403,0,RENT,debt_consolidation,7.6,0
A50228,630,31300.0,24100,48,8.7,0.68,0,MORTGAGE,home_improvement,7.48,0
A50229,782,92300.0,63200,36,5.1,0.622,0,MORTGAGE,debt_consolidation,8.09,0
A50230,716,77100.0,57700,60,6.5,0.474,0,MORTGAGE,credit_card,9.51,0
A50231,691,64100.0,27700,36,2.0,0.271,1,RENT,major_purchase,9.19,1
A50232,682,64300.0,53000,36,10.5,0.482,1,OWN,debt_consolidation,7.58,0
A50233,732,64600.0,18200,24,2.1,0.426,0,MORTGAGE,debt_consolidation,6.82,0
A50234,757,55100.0,6300,24,3.3,0.261,0,RENT,major_purchase,7.36,0
A50235,584,77800.0,69400,48,2.2,0.32,0,MORTGAGE,debt_consolidation,11.71,0
A50236,614,25800.0,9700,24,15.0,0.34,0,RENT,medical,12.71,0
A50237,550,51900.0,19300,36,1.9,0.59,0,MORTGAGE,medical,12.57,1
A50238,713,96700.0,82800,48,6.9,0.917,0,MORTGAGE,debt_consolidation,8.54,0
A50239,709,66400.0,34500,36,4.7,0.29,1,RENT,debt_consolidation,10.59,0
A50240,654,77600.0,57400,36,0.3,0.748,0,RENT,credit_card,11.61,0
A50241,598,28200.0,20400,36,6.2,0.308,0,RENT,major_purchase,11.06,1
A50242,778,51900.0,14200,48,1.7,0.377,0,RENT,credit_card,8.47,0
A50243,800,46800.0,18300,12,2.8,0.466,0,RENT,debt_consolidation,8.55,0
A50244,798,40900.0,22400,36,13.0,0.363,0,RENT,major_purchase,7.58,0
A50245,684,27400.0,11500,12,7.5,0.588,0,RENT,home_improvement,10.43,1
A50246,690,43900.0,12800,24,1.1,0.474,1,RENT,medical,9.81,0
A50247,690,50100.0,5100,48,,0.347,0,RENT,debt_consolidation,11.37,0
A50248,670,101700.0,77700,24,2.9,0.41,1,RENT,debt_consolidation,10.45,1
A50249,588,33300.0,26500,36,3.5,0.537,0,RENT,major_purchase,11.02,1
A50250,634,55700.0,35400,48,0.0,0.631,0,RENT,debt_consolidation,9.24,1
A50251,741,52100.0,15300,36,3.9,0.31,0,MORTGAGE,credit_card,6.55,0
A50252,680,66700.0,8100,48,28.3,0.106,1,RENT,debt_consolidation,8.84,0
A50253,644,60500.0,44900,24,6.8,0.742,0,MORTGAGE,home_improvement,8.63,1
A50254,661,49100.0,10300,60,2.5,0.482,0,MORTGAGE,debt_consolidation,10.0,0
A50255,811,26500.0,13700,60,4.2,0.678,0,OWN,medical,7.64,0
A50256,792,43300.0,32400,36,6.0,0.508,1,MORTGAGE,small_business,7.01,0
A50257,763,82100.0,27900,48,6.9,0.358,1,MORTGAGE,small_business,8.48,0
A50258,693,76100.0,22400,12,2.7,0.411,0,MORTGAGE,debt_consolidation,10.28,0
A50259,589,60200.0,36600,24,1.6,0.48,1,RENT,home_improvement,11.14,1
A50260,695,34400.0,16900,24,0.2,0.72,0,MORTGAGE,medical,9.43,0
A50261,656,172800.0,39300,36,3.8,0.308,0,RENT,debt_consolidation,11.15,0
A50262,726,97600.0,39000,36,3.2,0.322,0,RENT,medical,6.98,0
A50263,757,24300.0,4400,48,10.1,0.629,0,OWN,debt_consolidation,8.23,0
A50264,629,77900.0,51500,36,0.9,0.547,0,MORTGAGE,debt_consolidation,11.78,0
A50265,779,109300.0,89600,48,1.1,0.345,1,RENT,debt_consolidation,10.33,0
A50266,684,56800.0,13300,36,1.9,0.305,0,MORTGAGE,home_improvement,11.04,1
A50267,687,90000.0,42700,36,10.8,0.455,0,MORTGAGE,credit_card,10.82,0
A50268,638,71000.0,40200,60,5.4,0.4,1,MORTGAGE,debt_consolidation,11.98,1
A50269,666,68900.0,10100,36,4.8,0.174,0,MORTGAGE,debt_consolidation,9.14,0
A50270,687,129400.0,47700,48,4.5,0.445,2,RENT,credit_card,8.11,0
A50271,665,47500.0,17200,36,1.4,0.337,1,RENT,debt_consolidation,10.33,0
A50272,656,44300.0,11900,48,4.4,0.595,0,MORTGAGE,debt_consolidation,14.04,1
A50273,650,70500.0,50900,48,1.4,0.39,0,MORTGAGE,home_improvement,9.89,0
A50274,833,64500.0,19300,36,2.2,0.247,1,RENT,small_business,9.89,0
A50275,665,52600.0,8200,36,0.5,0.642,1,RENT,debt_consolidation,9.0,1
A50276,737,112500.0,57600,24,1.8,0.382,0,MORTGAGE,home_improvement,7.21,0
A50277,686,48700.0,36100,12,0.7,0.79,1,MORTGAGE,debt_consolidation,8.68,0
A50278,461,100700.0,22200,48,6.6,0.124,0,RENT,small_business,15.53,1
A50279,850,73100.0,23900,36,2.2,0.403,0,MORTGAGE,credit_card,5.54,0
A50280,680,,37500,36,11.1,0.557,0,MORTGAGE,medical,9.16,0
A50281,639,48800.0,11900,36,0.7,0.223,0,OWN,debt_consolidation,11.74,1
A50282,779,38100.0,22300,24,6.4,0.577,1,RENT,small_business,7.12,1
A50283,791,39700.0,33400,36,0.0,0.544,2,RENT,home_improvement,7.04,0
A50284,637,104100.0,34300,24,2.9,0.368,0,MORTGAGE,debt_consolidation,10.76,0
A50285,618,50000.0,44000,36,3.1,0.856,0,RENT,home_improvement,9.78,1
A50286,614,50300.0,44900,48,20.4,0.609,0,RENT,credit_card,8.73,0
A50287,706,31100.0,5300,24,5.3,0.4,0,MORTGAGE,credit_card,9.64,0
A50288,692,37400.0,8300,48,3.5,0.426,0,MORTGAGE,debt_consolidation,8.23,0
A50289,739,48100.0,29200,24,0.1,0.305,0,RENT,small_business,8.42,1
A50290,671,34500.0,18000,48,8.0,0.662,0,OWN,debt_consolidation,11.6,0
A50291,642,85500.0,34000,12,,0.275,0,RENT,major_purchase,15.43,1
A50292,689,29700.0,16800,24,1.5,0.193,0,MORTGAGE,home_improvement,12.09,0
A50293,637,90200.0,26900,48,6.2,0.145,0,OWN,debt_consolidation,9.66,0
A50294,729,37100.0,18800,36,20.3,0.193,0,RENT,major_purchase,9.67,0
A50295,711,22000.0,18700,12,2.3,0.533,2,RENT,debt_consolidation,8.67,0
A50296,722,55600.0,20200,12,4.5,0.518,0,RENT,credit_card,11.55,0
A50297,714,47800.0,12100,36,7.3,0.474,0,RENT,debt_consolidation,9.62,1
A50298,649,71400.0,30900,48,0.4,0.476,0,RENT,home_improvement,9.02,1
A50299,551,34800.0,14800,60,5.8,0.173,0,RENT,credit_card,14.47,1
A50300,775,62700.0,14600,36,1.9,0.444,0,RENT,small_business,7.59,0
A50301,761,95600.0,31500,60,2.6,0.304,1,RENT,credit_card,6.92,0
A50302,624,93400.0,64100,36,2.2,0.632,0,RENT,home_improvement,13.67,0
A50303,747,74300.0,63000,60,5.8,0.406,0,MORTGAGE,credit_card,9.48,0
A50304,692,117100.0,64000,48,1.1,0.497,0,MORTGAGE,debt_consolidation,8.07,0
A50305,675,,12000,48,4.8,0.603,0,MORTGAGE,credit_card,7.4,0
A50306,680,33000.0,4900,36,3.8,0.118,2,RENT,medical,10.69,0
A50307,618,45000.0,14600,48,7.5,0.476,0,MORTGAGE,debt_consolidation,12.57,1
A50308,670,35300.0,16700,48,4.4,0.735,0,MORTGAGE,debt_consolidation,9.43,0
A50309,684,103200.0,69300,36,7.9,0.289,0,RENT,home_improvement,10.74,0
A50310,695,88600.0,43200,36,2.5,0.296,0,RENT,major_purchase,12.01,0
A50311,633,44700.0,14600,36,8.1,0.3,2,RENT,home_improvement,12.93,1
A50312,709,60400.0,28100,36,2.3,0.21,0,RENT,major_purchase,9.13,0
A50313,636,44700.0,6000,36,1.1,0.237,0,MORTGAGE,debt_consolidation,11.23,0
A50314,642,129100.0,32900,48,4.8,0.375,0,MORTGAGE,credit_card,8.65,0
A50315,686,25700.0,20200,36,1.8,0.285,0,MORTGAGE,home_improvement,11.77,0
A50316,645,52500.0,26600,36,15.3,0.483,0,OWN,home_improvement,9.22,1
A50317,602,71100.0,23800,36,5.8,0.351,0,RENT,credit_card,10.72,1
A50318,640,39100.0,28400,36,0.3,0.506,0,OWN,credit_card,12.2,0
