OrderID,Date,Region,SalesRep,Product,Qty,Price,Total
20071,2023-01-28,East,Susan,Gadget B,3,45.0,135.0
20072,2023-01-24,South,Patricia,Gadget B,5,45.0,225.0
20073,2023-05-07,East,John,Keyboard Light,2,12.0,24.0
20074,2023-07-01,North,Robert,Widget A,2,25.0,50.0
20075,2023-10-15,West,David,Widget A,1,25.0,25.0
20076,2023-07-04,North,Robert,Keyboard Light,2,12.0,24.0
20077,2023-08-14,South,Patricia,Widget A,2,25.0,50.0
20078,2023-07-13,North,Emma,Wireless Mouse,2,15.0,30.0
20079,2023-04-09,North,Emma,Desk Organizer,3,30.0,90.0
20080,2023-02-17,North,Emma,Gadget B,1,45.0,45.0
20081,2023-12-25,East,Sarah,Keyboard Light,2,12.0,24.0
20082,2023-09-03,West,David,Wireless Mouse,1,15.0,15.0
20083,2023-01-26,West,Michael,Wireless Mouse,1,15.0,15.0
20084,2023-04-20,South,James,Wireless Mouse,3,15.0,45.0
20085,2023-11-09,East,John,Keyboard Light,1,12.0,12.0
20086,2023-05-09,West,David,Desk Organizer,5,30.0,150.0
20087,2023-05-11,North,Emma,Desk Organizer,1,30.0,30.0
20088,2023-11-23,East,Susan,Keyboard Light,1,12.0,12.0
20089,2023-05-28,South,James,Gadget B,10,45.0,450.0
20090,2023-11-13,East,John,Wireless Mouse,2,15.0,30.0
20091,2023-09-02,South,James,Desk Organizer,10,30.0,300.0
20092,2023-03-10,East,John,Keyboard Light,1,12.0,12.0
20093,2023-12-26,East,Susan,Keyboard Light,2,12.0,24.0
20094,2023-07-27,East,Susan,Keyboard Light,2,12.0,24.0
20095,2023-08-19,East,Sarah,Gadget B,2,45.0,90.0
20096,2023-06-16,West,David,Wireless Mouse,1,15.0,15.0
20097,2023-06-16,West,David,Wireless Mouse,2,15.0,30.0
20098,2023-04-18,West,Michael,Widget A,2,25.0,50.0
20099,2023-02-12,North,Robert,Keyboard Light,5,12.0,60.0
20100,2023-07-09,South,Patricia,Wireless Mouse,2,15.0,30.0
20101,2023-05-13,North,Robert,Desk Organizer,1,30.0,30.0
20102,2023-07-28,South,Patricia,Desk Organizer,3,30.0,90.0
20103,2023-02-09,West,David,Gadget B,1,45.0,45.0
20104,2023-08-01,South,James,Desk Organizer,3,30.0,90.0
20105,2023-03-04,North,Emma,Widget A,5,25.0,125.0
20106,2023-05-18,South,Patricia,Gadget B,3,45.0,135.0
20107,2023-07-27,North,Emma,Wireless Mouse,5,15.0,75.0
20108,2023-01-29,East,Sarah,Wireless Mouse,2,15.0,30.0
20109,2023-05-10,South,James,Gadget B,2,45.0,90.0
20110,2023-07-31,North,Emma,Gadget B,2,45.0,90.0
20111,2023-07-31,West,David,Wireless Mouse,5,15.0,75.0
20112,2023-03-13,North,Emma,Desk Organizer,1,30.0,30.0
20113,2023-11-05,East,Sarah,Wireless Mouse,2,15.0,30.0
20114,2023-07-05,South,James,Wireless Mouse,2,15.0,30.0
20115,2023-11-25,West,Michael,Widget A,2,25.0,50.0
20116,2023-12-14,West,David,Keyboard Light,2,12.0,24.0
20117,2023-08-15,East,Susan,Gadget B,1,45.0,45.0
20118,2023-03-23,North,Emma,Keyboard Light,3,12.0,36.0
20119,2023-03-24,North,Robert,Widget A,2,25.0,50.0
20120,2023-04-07,North,Robert,Widget A,2,25.0,50.0
20121,2023-10-28,South,Patricia,Wireless Mouse,2,15.0,30.0
20122,2023-04-09,East,Sarah,Wireless Mouse,2,15.0,30.0
20123,2023-01-26,North,Robert,Gadget B,2,45.0,90.0
20124,2023-09-21,North,Emma,Wireless Mouse,1,15.0,15.0
20125,2023-10-20,West,David,Desk Organizer,2,30.0,60.0
20126,2023-03-05,East,Sarah,Widget A,1,25.0,25.0
20127,2023-07-12,East,Susan,Wireless Mouse,1,15.0,15.0
20128,2023-10-23,North,Emma,Keyboard Light,2,12.0,24.0
20129,2023-04-24,East,John,Gadget B,1,45.0,45.0
20130,2023-04-25,North,Emma,Desk Organizer,3,30.0,90.0
20131,2023-05-02,South,James,Desk Organizer,1,30.0,30.0
20132,2023-11-23,West,Michael,Widget A,3,25.0,75.0
20133,2023-11-05,East,Sarah,Widget A,2,25.0,50.0
20134,2023-08-11,East,Sarah,Gadget B,1,45.0,45.0
20135,2023-01-11,East,Susan,Gadget B,2,45.0,90.0
20136,2023-08-11,North,Emma,Gadget B,1,45.0,45.0
20137,2023-04-02,South,James,Keyboard Light,2,12.0,24.0
20138,2023-08-10,East,Susan,Wireless Mouse,2,15.0,30.0
20139,2023-07-11,South,Patricia,Wireless Mouse,1,15.0,15.0
20140,2023-08-14,East,John,Keyboard Light,5,12.0,60.0
20141,2023-03-12,West,Michael,Widget A,2,25.0,50.0
20142,2023-12-04,North,Robert,Wireless Mouse,1,15.0,15.0
20143,2023-04-22,East,John,Gadget B,2,45.0,90.0
20144,2023-10-17,East,Sarah,Wireless Mouse,1,15.0,15.0
20145,2023-08-25,North,Robert,Desk Organizer,2,30.0,60.0
20146,2023-04-02,East,Susan,Wireless Mouse,1,15.0,15.0
20147,2023-07-29,East,Sarah,Widget A,3,25.0,75.0
20148,2023-03-04,North,Emma,Wireless Mouse,2,15.0,30.0
20149,2023-05-13,South,Patricia,Desk Organizer,3,30.0,90.0
20150,2023-06-02,South,Patricia,Keyboard Light,1,12.0,12.0
20151,2023-07-10,South,Patricia,Desk Organizer,10,30.0,300.0
20152,2023-12-29,South,James,Keyboard Light,2,12.0,24.0
20153,2023-05-07,West,David,Keyboard Light,2,12.0,24.0
20154,2023-01-30,West,David,Desk Organizer,1,30.0,30.0
20155,2023-02-26,East,Sarah,Widget A,2,25.0,50.0
20156,2023-06-17,East,John,Keyboard Light,2,12.0,24.0
20157,2023-07-22,East,John,Gadget B,1,45.0,45.0
20158,2023-03-03,East,Susan,Wireless Mouse,3,15.0,45.0
20159,2023-03-04,North,Robert,Wireless Mouse,1,15.0,15.0
20160,2023-02-14,West,David,Widget A,1,25.0,25.0
20161,2023-04-09,West,David,Gadget B,5,45.0,225.0
20162,2023-08-13,South,Patricia,Desk Organizer,2,30.0,60.0
20163,2023-11-28,South,James,Wireless Mouse,2,15.0,30.0
20164,2023-09-06,East,Susan,Widget A,1,25.0,25.0
20165,2023-04-16,North,Emma,Wireless Mouse,2,15.0,30.0
20166,2023-07-18,North,Robert,Gadget B,2,45.0,90.0
20167,2023-05-14,East,John,Keyboard Light,1,12.0,12.0
20168,2023-07-12,South,James,Keyboard Light,2,12.0,24.0
20169,2023-04-27,West,David,Desk Organizer,1,30.0,30.0
20170,2023-12-21,South,Patricia,Desk Organizer,1,30.0,30.0
20171,2023-05-28,South,James,Keyboard Light,1,12.0,12.0
20172,2023-01-04,West,David,Widget A,1,25.0,25.0
20173,2023-08-07,West,Michael,Gadget B,1,45.0,45.0
20174,2023-01-23,East,John,Gadget B,2,45.0,90.0
20175,2023-07-15,East,Sarah,Wireless Mouse,10,15.0,150.0
20176,2023-10-15,South,James,Widget A,2,25.0,50.0
20177,2023-10-10,West,Michael,Keyboard Light,2,12.0,24.0
20178,2023-02-12,North,Emma,Widget A,5,25.0,125.0
20179,2023-09-23,South,Patricia,Desk Organizer,5,30.0,150.0
20180,2023-01-29,North,Robert,Keyboard Light,1,12.0,12.0
20181,2023-03-08,East,John,Desk Organizer,2,30.0,60.0
20182,2023-08-14,East,John,Widget A,1,25.0,25.0
20183,2023-12-01,South,James,Keyboard Light,3,12.0,36.0
20184,2023-03-21,East,Sarah,Gadget B,1,45.0,45.0
20185,2023-10-15,East,John,Wireless Mouse,1,15.0,15.0
20186,2023-10-17,West,Michael,Desk Organizer,2,30.0,60.0
20187,2023-03-18,East,Susan,Keyboard Light,3,12.0,36.0
20188,2023-08-22,South,Patricia,Wireless Mouse,2,15.0,30.0
20189,2023-07-20,West,Michael,Keyboard Light,1,12.0,12.0
20190,2023-07-03,North,Robert,Widget A,2,25.0,50.0
20191,2023-12-18,South,Patricia,Gadget B,1,45.0,45.0
20192,2023-08-28,North,Robert,Gadget B,1,45.0,45.0
20193,2023-10-22,South,Patricia,Keyboard Light,1,12.0,12.0
20194,2023-05-08,West,Michael,Desk Organizer,3,30.0,90.0
20195,2023-01-10,East,Susan,Widget A,1,25.0,25.0
20196,2023-02-10,East,John,Widget A,1,25.0,25.0
20197,2023-06-24,South,James,Wireless Mouse,3,15.0,45.0
20198,2023-12-27,East,Susan,Widget A,3,25.0,75.0
20199,2023-07-14,East,Susan,Keyboard Light,2,12.0,24.0
20200,2023-09-14,South,Patricia,Desk Organizer,2,30.0,60.0
20201,2023-08-28,East,John,Keyboard Light,5,12.0,60.0
20202,2023-02-12,East,Sarah,Keyboard Light,3,12.0,36.0
20203,2023-07-12,East,Susan,Wireless Mouse,1,15.0,15.0
20204,2023-04-09,North,Emma,Keyboard Light,2,12.0,24.0
20205,2023-09-28,East,John,Gadget B,1,45.0,45.0
20206,2023-05-21,East,John,Widget A,1,25.0,25.0
20207,2023-03-16,East,Sarah,Desk Organizer,3,30.0,90.0
20208,2023-10-11,East,John,Gadget B,1,45.0,45.0
20209,2023-12-03,East,Susan,Widget A,3,25.0,75.0
20210,2023-05-27,North,Robert,Desk Organizer,1,30.0,30.0
20211,2023-11-27,South,James,Desk Organizer,2,30.0,60.0
20212,2023-12-07,West,Michael,Desk Organizer,10,30.0,300.0
20213,2023-03-22,East,Susan,Keyboard Light,2,12.0,24.0
20214,2023-08-05,South,Patricia,Gadget B,3,45.0,135.0
20215,2023-01-10,West,David,Widget A,1,25.0,25.0
20216,2023-12-15,North,Robert,Keyboard Light,3,12.0,36.0
20217,2023-01-02,South,James,Widget A,5,25.0,125.0
20218,2023-10-26,West,Michael,Widget A,1,25.0,25.0
20219,2023-03-16,West,David,Widget A,1,25.0,25.0
20220,2023-07-05,South,James,Wireless Mouse,2,15.0,30.0
20221,2023-09-24,East,John,Keyboard Light,1,12.0,12.0
20222,2023-07-30,West,David,Desk Organizer,3,30.0,90.0
20223,2023-10-25,East,Sarah,Desk Organizer,1,30.0,30.0
20224,2023-01-02,West,David,Gadget B,5,45.0,225.0
20225,2023-05-07,West,David,Desk Organizer,1,30.0,30.0
20226,2023-12-12,East,Susan,Widget A,3,25.0,75.0
20227,2023-07-26,South,James,Widget A,1,25.0,25.0
20228,2023-10-23,South,James,Keyboard Light,3,12.0,36.0
20229,2023-07-22,East,John,Wireless Mouse,1,15.0,15.0
20230,2023-08-31,North,Emma,Gadget B,5,45.0,225.0
20231,2023-08-05,North,Emma,Widget A,1,25.0,25.0
20232,2023-02-19,West,Michael,Gadget B,2,45.0,90.0
20233,2023-11-24,East,Susan,Keyboard Light,1,12.0,12.0
20234,2023-12-13,West,Michael,Keyboard Light,1,12.0,12.0
20235,2023-11-10,East,John,Desk Organizer,2,30.0,60.0
20236,2023-01-12,West,Michael,Gadget B,1,45.0,45.0
20237,2023-06-02,South,James,Gadget B,2,45.0,90.0
20238,2023-08-14,West,Michael,Keyboard Light,1,12.0,12.0
20239,2023-02-17,South,Patricia,Gadget B,1,45.0,45.0
20240,2023-04-26,East,Susan,Desk Organizer,1,30.0,30.0
20241,2023-04-10,East,Sarah,Keyboard Light,2,12.0,24.0
20242,2023-09-20,West,Michael,Desk Organizer,1,30.0,30.0
20243,2023-11-22,East,Sarah,Desk Organizer,1,30.0,30.0
20244,2023-09-08,West,Michael,Desk Organizer,5,30.0,150.0
20245,2023-03-13,East,Susan,Gadget B,1,45.0,45.0
20246,2023-05-31,North,Robert,Keyboard Light,1,12.0,12.0
20247,2023-09-19,North,Emma,Keyboard Light,1,12.0,12.0
20248,2023-03-21,South,James,Gadget B,1,45.0,45.0
20249,2023-03-12,West,Michael,Widget A,5,25.0,125.0
20250,2023-01-25,North,Robert,Gadget B,1,45.0,45.0
20251,2023-10-18,North,Emma,Widget A,5,25.0,125.0
20252,2023-04-09,West,Michael,Wireless Mouse,1,15.0,15.0
20253,2023-10-24,North,Emma,Keyboard Light,1,12.0,12.0
20254,2023-02-10,South,Patricia,Desk Organizer,2,30.0,60.0
20255,2023-11-04,North,Robert,Gadget B,1,45.0,45.0
20256,2023-02-18,West,Michael,Widget A,1,25.0,25.0
20257,2023-01-02,North,Emma,Widget A,1,25.0,25.0
20258,2023-10-22,South,Patricia,Gadget B,3,45.0,135.0
20259,2023-12-23,East,Sarah,Widget A,1,25.0,25.0
20260,2023-10-20,North,Robert,Keyboard Light,1,12.0,12.0
20261,2023-02-14,North,Robert,Desk Organizer,2,30.0,60.0
20262,2023-01-26,North,Emma,Keyboard Light,1,12.0,12.0
20263,2023-05-05,North,Emma,Desk Organizer,3,30.0,90.0
20264,2023-05-02,East,John,Widget A,1,25.0,25.0
20265,2023-10-06,North,Emma,Desk Organizer,1,30.0,30.0
20266,2023-07-27,West,David,Gadget B,1,45.0,45.0
20267,2023-12-08,East,John,Widget A,1,25.0,25.0
20268,2023-03-17,North,Emma,Keyboard Light,2,12.0,24.0
20269,2023-12-25,East,Sarah,Keyboard Light,2,12.0,24.0
20270,2023-07-03,North,Emma,Widget A,3,25.0,75.0
20271,2023-12-11,East,Sarah,Wireless Mouse,3,15.0,45.0
20272,2023-10-22,West,David,Wireless Mouse,1,15.0,15.0
20273,2023-09-16,East,Sarah,Wireless Mouse,3,15.0,45.0
20274,2023-04-13,South,James,Widget A,10,25.0,250.0
20275,2023-09-06,North,Robert,Widget A,3,25.0,75.0
20276,2023-09-28,South,James,Keyboard Light,1,12.0,12.0
20277,2023-11-22,East,John,Desk Organizer,3,30.0,90.0
20278,2023-09-18,East,Sarah,Desk Organizer,3,30.0,90.0
20279,2023-03-10,South,James,Gadget B,5,45.0,225.0
20280,2023-07-17,East,Sarah,Wireless Mouse,5,15.0,75.0
20281,2023-02-20,East,Sarah,Wireless Mouse,1,15.0,15.0
20282,2023-04-22,South,Patricia,Gadget B,2,45.0,90.0
20283,2023-11-19,East,Susan,Keyboard Light,1,12.0,12.0
20284,2023-02-25,East,Susan,Desk Organizer,2,30.0,60.0
20285,2023-07-23,East,Susan,Widget A,1,25.0,25.0
20286,2023-07-17,North,Robert,Gadget B,3,45.0,135.0
20287,2023-07-08,South,James,Widget A,1,25.0,25.0
20288,2023-03-13,North,Robert,Desk Organizer,1,30.0,30.0
20289,2023-10-25,West,David,Desk Organizer,1,30.0,30.0
20290,2023-01-08,North,Robert,Gadget B,1,45.0,45.0
20291,2023-07-12,North,Robert,Widget A,2,25.0,50.0
20292,2023-06-26,West,Michael,Widget A,1,25.0,25.0
20293,2023-09-20,East,John,Keyboard Light,3,12.0,36.0
20294,2023-08-26,North,Emma,Wireless Mouse,3,15.0,45.0
20295,2023-07-12,East,Sarah,Keyboard Light,1,12.0,12.0
20296,2023-10-13,West,Michael,Widget A,1,25.0,25.0
20297,2023-04-19,East,John,Desk Organizer,1,30.0,30.0
20298,2023-10-05,West,Michael,Desk Organizer,2,30.0,60.0
20299,2023-06-28,East,John,Widget A,1,25.0,25.0
20300,2023-01-24,East,Susan,Gadget B,3,45.0,135.0
20301,2023-02-13,West,Michael,Desk Organizer,2,30.0,60.0
20302,2023-05-07,West,David,Gadget B,1,45.0,45.0
20303,2023-04-22,West,David,Keyboard Light,2,12.0,24.0
20304,2023-06-09,East,Susan,Desk Organizer,3,30.0,90.0
20305,2023-04-29,West,David,Gadget B,1,45.0,45.0
20306,2023-01-13,West,David,Widget A,1,25.0,25.0
20307,2023-11-10,East,Susan,Desk Organizer,3,30.0,90.0
20308,2023-02-05,East,Susan,Desk Organizer,1,30.0,30.0
20309,2023-09-26,South,Patricia,Keyboard Light,1,12.0,12.0
20310,2023-07-28,West,David,Desk Organizer,1,30.0,30.0
20311,2023-04-27,West,Michael,Wireless Mouse,2,15.0,30.0
20312,2023-12-19,North,Robert,Keyboard Light,1,12.0,12.0
20313,2023-01-05,North,Robert,Widget A,2,25.0,50.0
20314,2023-01-08,South,James,Widget A,1,25.0,25.0
20315,2023-09-07,South,James,Gadget B,2,45.0,90.0
20316,2023-11-13,East,John,Widget A,2,25.0,50.0
20317,2023-11-13,North,Emma,Widget A,2,25.0,50.0
20318,2023-06-21,East,Sarah,Keyboard Light,1,12.0,12.0
20319,2023-03-12,South,James,Wireless Mouse,3,15.0,45.0
20320,2023-08-14,West,Michael,Desk Organizer,10,30.0,300.0
20321,2023-08-24,West,David,Keyboard Light,1,12.0,12.0
20322,2023-10-28,North,Emma,Gadget B,2,45.0,90.0
20323,2023-12-20,West,David,Gadget B,1,45.0,45.0
20324,2023-09-03,North,Robert,Keyboard Light,1,12.0,12.0
20325,2023-06-29,West,Michael,Desk Organizer,1,30.0,30.0
20326,2023-09-01,South,James,Wireless Mouse,2,15.0,30.0
20327,2023-12-24,East,John,Keyboard Light,1,12.0,12.0
20328,2023-07-01,South,Patricia,Desk Organizer,5,30.0,150.0
20329,2023-04-12,South,Patricia,Gadget B,1,45.0,45.0
20330,2023-10-17,East,Sarah,Desk Organizer,2,30.0,60.0
20331,2023-02-03,West,Michael,Gadget B,2,45.0,90.0
20332,2023-01-27,East,Susan,Keyboard Light,2,12.0,24.0
20333,2023-06-11,West,David,Gadget B,1,45.0,45.0
20334,2023-03-23,East,John,Desk Organizer,5,30.0,150.0
20335,2023-06-03,East,John,Gadget B,10,45.0,450.0
20336,2023-05-10,West,David,Gadget B,1,45.0,45.0
20337,2023-04-09,West,David,Desk Organizer,1,30.0,30.0
20338,2023-05-23,West,Michael,Gadget B,2,45.0,90.0
20339,2023-07-17,South,Patricia,Widget A,1,25.0,25.0
20340,2023-12-04,North,Emma,Desk Organizer,2,30.0,60.0
20341,2023-05-11,West,Michael,Wireless Mouse,2,15.0,30.0
20342,2023-09-25,South,James,Desk Organizer,3,30.0,90.0
20343,2023-11-11,North,Emma,Desk Organizer,2,30.0,60.0
20344,2023-07-20,East,Susan,Keyboard Light,5,12.0,60.0
20345,2023-10-31,South,Patricia,Keyboard Light,1,12.0,12.0
20346,2023-05-02,East,Sarah,Keyboard Light,1,12.0,12.0
20347,2023-11-15,North,Emma,Widget A,1,25.0,25.0
20348,2023-04-07,East,Sarah,Keyboard Light,2,12.0,24.0
20349,2023-02-03,South,Patricia,Widget A,1,25.0,25.0
20350,2023-07-10,East,John,Gadget B,2,45.0,90.0
20351,2023-05-25,North,Emma,Gadget B,1,45.0,45.0
20352,2023-03-26,East,Susan,Desk Organizer,10,30.0,300.0
20353,2023-08-10,West,Michael,Keyboard Light,1,12.0,12.0
20354,2023-02-12,East,Susan,Widget A,2,25.0,50.0
20355,2023-01-10,North,Robert,Desk Organizer,2,30.0,60.0
20356,2023-01-09,South,James,Desk Organizer,5,30.0,150.0
20357,2023-04-25,North,Emma,Gadget B,2,45.0,90.0
20358,2023-11-14,West,Michael,Keyboard Light,2,12.0,24.0
20359,2023-01-02,East,John,Desk Organizer,3,30.0,90.0
20360,2023-05-28,East,Susan,Keyboard Light,1,12.0,12.0
20361,2023-03-27,South,Patricia,Wireless Mouse,1,15.0,15.0
20362,2023-02-07,South,James,Desk Organizer,1,30.0,30.0
20363,2023-12-31,North,Robert,Gadget B,2,45.0,90.0
20364,2023-05-23,East,John,Desk Organizer,2,30.0,60.0
20365,2023-03-09,South,Patricia,Desk Organizer,1,30.0,30.0
20366,2023-02-13,South,James,Desk Organizer,2,30.0,60.0
20367,2023-01-15,West,Michael,Widget A,1,25.0,25.0
20368,2023-12-07,North,Robert,Desk Organizer,2,30.0,60.0
20369,2023-08-30,West,Michael,Wireless Mouse,2,15.0,30.0
20370,2023-05-15,South,James,Desk Organizer,1,30.0,30.0
20371,2023-11-16,North,Emma,Desk Organizer,1,30.0,30.0
20372,2023-03-27,South,James,Keyboard Light,1,12.0,12.0
20373,2023-04-14,North,Emma,Keyboard Light,1,12.0,12.0
20374,2023-06-12,West,David,Keyboard Light,5,12.0,60.0
20375,2023-03-11,South,Patricia,Keyboard Light,1,12.0,12.0
20376,2023-04-19,East,John,Desk Organizer,5,30.0,150.0
20377,2023-02-20,West,David,Keyboard Light,1,12.0,12.0
20378,2023-09-27,West,Michael,Gadget B,2,45.0,90.0
20379,2023-02-02,North,Emma,Gadget B,1,45.0,45.0
20380,2023-03-03,North,Emma,Wireless Mouse,2,15.0,30.0
20381,2023-02-01,East,Sarah,Widget A,3,25.0,75.0
20382,2023-07-20,South,Patricia,Gadget B,1,45.0,45.0
20383,2023-11-13,East,John,Wireless Mouse,1,15.0,15.0
20384,2023-05-05,East,Sarah,Widget A,2,25.0,50.0
20385,2023-03-18,South,Patricia,Keyboard Light,2,12.0,24.0
20386,2023-11-11,West,David,Widget A,1,25.0,25.0
20387,2023-02-26,West,David,Desk Organizer,2,30.0,60.0
20388,2023-04-14,East,John,Widget A,2,25.0,50.0
20389,2023-11-12,North,Robert,Gadget B,5,45.0,225.0
20390,2023-06-17,East,Sarah,Wireless Mouse,1,15.0,15.0
20391,2023-02-05,South,James,Desk Organizer,5,30.0,150.0
20392,2023-05-10,West,David,Keyboard Light,1,12.0,12.0
20393,2023-08-18,North,Robert,Desk Organizer,2,30.0,60.0
20394,2023-04-03,North,Robert,Wireless Mouse,3,15.0,45.0
20395,2023-03-16,West,David,Widget A,2,25.0,50.0
20396,2023-06-11,East,John,Desk Organizer,1,30.0,30.0
20397,2023-08-13,East,Susan,Gadget B,1,45.0,45.0
20398,2023-04-12,East,Sarah,Gadget B,1,45.0,45.0
20399,2023-11-08,East,Susan,Keyboard Light,5,12.0,60.0
20400,2023-12-26,East,Sarah,Desk Organizer,2,30.0,60.0
20401,2023-10-25,East,Susan,Wireless Mouse,2,15.0,30.0
20402,2023-04-22,East,Susan,Desk Organizer,2,30.0,60.0
20403,2023-09-21,North,Emma,Wireless Mouse,2,15.0,30.0
20404,2023-06-25,South,James,Widget A,2,25.0,50.0
20405,2023-08-12,East,Sarah,Gadget B,3,45.0,135.0
20406,2023-09-15,North,Robert,Widget A,1,25.0,25.0
20407,2023-10-03,West,David,Wireless Mouse,5,15.0,75.0
20408,2023-04-06,North,Emma,Keyboard Light,3,12.0,36.0
20409,2023-07-18,North,Robert,Keyboard Light,2,12.0,24.0
20410,2023-04-25,East,Susan,Wireless Mouse,2,15.0,30.0
20411,2023-04-29,South,James,Desk Organizer,3,30.0,90.0
20412,2023-01-05,West,Michael,Desk Organizer,10,30.0,300.0
20413,2023-11-03,East,Susan,Widget A,1,25.0,25.0
20414,2023-04-08,South,James,Widget A,5,25.0,125.0
20415,2023-03-17,South,James,Keyboard Light,3,12.0,36.0
20416,2023-10-13,East,John,Gadget B,2,45.0,90.0
20417,2023-12-23,West,David,Keyboard Light,5,12.0,60.0
20418,2023-09-11,South,James,Gadget B,2,45.0,90.0
20419,2023-05-31,East,Susan,Gadget B,3,45.0,135.0
20420,2023-06-04,East,Sarah,Desk Organizer,3,30.0,90.0
20421,2023-01-10,North,Emma,Wireless Mouse,1,15.0,15.0
20422,2023-05-05,South,James,Keyboard Light,1,12.0,12.0
20423,2023-08-10,East,John,Widget A,1,25.0,25.0
20424,2023-03-05,North,Robert,Wireless Mouse,1,15.0,15.0
20425,2023-08-29,North,Emma,Desk Organizer,2,30.0,60.0
